long_name,height_cm,weight_kg,age,overall,potential,sofifa_id,nation_position,nationality_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Ibrahima Konaté,194,95,23,80,87,237678.0,SUB, France,38,29.0,78.0,75.0,28.0,67,32,27,69,69,71,85,60,75,54,45,75,65,87,31,79,81,37,51.0,41.0,80,84,78,9.0,7.0,9.0,9.0,15.0
Eduardo Celmi Camavinga,182,68,19,79,89,248243.0,RES, France,70,62.0,64.0,84.0,59.0,80,72,59,81,83,75,76,81,80,78,73,70,81,78,69,78,77,72,77.0,62.0,75,80,78,12.0,6.0,8.0,12.0,12.0
Marcus Lilian Thuram-Ulien,192,88,24,78,81,228093.0,RES, France,74,79.0,78.0,74.0,70.0,82,66,51,62,78,79,85,73,77,57,82,71,79,87,75,50,45,78,74.0,70.0,43,49,37,11.0,13.0,14.0,9.0,15.0
Mathew David Ryan,184,82,30,80,80,199005.0,GK, Australia,23,11.0,14.0,40.0,15.0,13,23,12,45,24,53,52,53,73,50,62,78,34,65,18,36,23,10,68.0,25.0,10,20,17,80.0,79.0,83.0,78.0,82.0
Miloš Degenek,187,82,28,72,73,229585.0,LCB, Australia,60,59.0,70.0,70.0,57.0,52,69,44,71,61,77,76,75,72,65,70,81,81,84,61,81,71,55,67.0,58.0,67,70,72,14.0,12.0,7.0,10.0,12.0
Nathaniel Caleb Atkinson,181,72,23,70,78,241861.0,RB, Australia,66,56.0,60.0,68.0,41.0,69,65,49,59,68,78,78,81,64,85,56,86,83,72,50,67,60,66,57.0,53.0,63,70,64,15.0,11.0,12.0,12.0,6.0
Kye Francis Rowles,185,80,24,68,74,233931.0,SUB, Australia,30,20.0,62.0,67.0,31.0,38,26,25,56,53,62,70,60,64,64,38,84,76,75,27,68,67,27,33.0,36.0,70,71,68,13.0,12.0,6.0,10.0,9.0
Fran Karačić,181,75,26,70,73,243473.0,SUB, Australia,68,41.0,60.0,66.0,20.0,66,48,48,64,65,79,82,76,65,63,58,73,84,70,50,70,67,65,56.0,43.0,55,63,64,9.0,11.0,9.0,12.0,7.0
Martin Callie Boyle,172,70,29,73,73,211221.0,RM, Australia,68,71.0,51.0,63.0,61.0,75,57,54,50,69,93,91,83,68,78,75,66,85,57,66,63,36,71,59.0,72.0,53,54,47,14.0,10.0,13.0,15.0,7.0
Mathew Allan Leckie,181,82,31,71,71,195033.0,SUB, Australia,66,64.0,68.0,66.0,63.0,72,70,50,56,71,80,84,73,68,80,70,85,73,78,62,68,54,68,65.0,64.0,51,50,46,8.0,10.0,8.0,6.0,10.0
Bailey Colin Wright,184,79,29,68,68,198810.0,RES, Australia,47,39.0,68.0,61.0,22.0,44,36,27,54,59,53,52,52,67,57,40,87,69,77,36,72,66,39,46.0,39.0,68,67,66,13.0,10.0,15.0,15.0,16.0
Jamie Maclaren,179,76,28,75,75,212232.0,ST, Australia,57,78.0,73.0,70.0,65.0,70,71,67,56,70,83,80,85,75,81,74,91,87,71,68,71,40,82,66.0,73.0,30,37,31,9.0,15.0,11.0,6.0,13.0
Ajdin Hrustić,180,78,25,72,75,237647.0,CAM, Australia,68,63.0,51.0,75.0,65.0,71,78,75,71,76,73,75,75,68,73,74,65,76,67,77,69,63,68,72.0,65.0,60,64,53,9.0,7.0,8.0,7.0,6.0
Awer Bul Mabil,179,65,26,70,70,212830.0,SUB, Australia,69,62.0,52.0,63.0,65.0,72,71,67,57,71,89,86,84,57,70,75,72,69,56,62,59,37,67,61.0,64.0,36,36,24,16.0,12.0,18.0,13.0,12.0
Andrew James Redmayne,194,83,33,70,70,183244.0,SUB, Australia,17,11.0,13.0,21.0,15.0,12,12,14,20,20,40,43,40,71,21,49,36,34,69,14,26,19,7,39.0,20.0,12,15,12,68.0,68.0,65.0,67.0,71.0
Aaron Frank Mooy,174,68,31,76,76,194958.0,RDM, Australia,74,68.0,50.0,79.0,65.0,72,72,72,78,76,67,57,68,73,77,75,72,81,74,77,75,71,69,77.0,73.0,72,71,67,11.0,8.0,12.0,11.0,12.0
Riley Patrick McGree,178,72,23,70,76,233487.0,SUB, Australia,64,67.0,53.0,66.0,62.0,70,66,61,64,69,80,75,83,68,75,66,68,75,73,65,67,64,70,67.0,61.0,63,61,58,12.0,9.0,5.0,8.0,13.0
Mitchell Thomas Duke,182,84,31,70,70,209885.0,SUB, Australia,60,72.0,60.0,66.0,57.0,70,45,51,62,69,78,80,68,59,67,76,90,90,84,66,51,51,68,63.0,64.0,47,54,50,6.0,8.0,11.0,13.0,13.0
Aziz Eraltay Behich,170,63,31,70,70,202157.0,LB, Australia,69,63.0,54.0,68.0,57.0,71,72,55,66,67,80,74,84,63,87,73,75,72,59,60,80,65,61,50.0,47.0,66,69,66,14.0,11.0,11.0,14.0,15.0
Cameron Peter Devlin,176,78,24,73,78,246006.0,SUB, Australia,60,58.0,51.0,73.0,48.0,68,50,53,66,72,73,68,78,71,86,52,60,90,62,52,86,69,66,66.0,46.0,69,71,67,14.0,7.0,6.0,12.0,6.0
Daniel Vuković,187,95,37,68,68,181481.0,SUB, Australia,11,11.0,16.0,25.0,11.0,11,15,13,12,18,53,47,41,67,58,47,68,32,74,13,41,17,6,36.0,37.0,23,15,11,67.0,66.0,63.0,67.0,68.0
Harry James Souttar,198,79,23,72,79,229901.0,RCB, Australia,24,25.0,72.0,66.0,23.0,56,26,31,63,63,37,40,57,71,30,33,70,66,84,26,64,73,26,50.0,40.0,73,72,73,12.0,12.0,12.0,15.0,13.0
Thomas Jok Deng,178,73,25,65,67,228310.0,SUB, Australia,42,26.0,63.0,62.0,48.0,48,26,28,58,57,75,79,73,55,61,70,80,66,71,52,63,65,37,37.0,39.0,65,66,59,9.0,9.0,9.0,8.0,14.0
Garang Kuol,175,68,17,60,82,268460.0,RES, Australia,53,63.0,44.0,52.0,39.0,56,42,46,55,59,83,83,68,55,77,52,55,50,45,47,26,33,55,55.0,62.0,32,14,18,15.0,6.0,14.0,8.0,6.0
Jackson Alexander Irvine,189,70,29,73,73,211378.0,LDM, Australia,62,71.0,74.0,75.0,62.0,70,64,58,67,75,64,65,58,72,58,75,80,80,75,68,72,69,71,75.0,57.0,68,71,66,7.0,13.0,11.0,9.0,11.0
Craig Alexander Goodwin,180,72,30,74,74,209888.0,LM, Australia,74,70.0,53.0,65.0,65.0,72,71,73,62,71,83,84,82,72,78,68,82,85,73,69,66,59,74,68.0,65.0,58,59,55,9.0,11.0,10.0,7.0,7.0
Joel Bruce King,179,78,21,66,77,246005.0,RES, Australia,54,27.0,60.0,65.0,28.0,62,48,30,62,59,73,70,65,59,69,29,72,80,73,29,52,57,58,38.0,31.0,62,65,64,8.0,10.0,11.0,11.0,10.0
Jason Steven Cummings,178,63,26,67,68,219948.0,SUB, Australia,41,67.0,65.0,63.0,59.0,63,66,56,46,65,70,72,70,69,73,68,69,71,65,64,60,45,71,66.0,70.0,21,41,33,15.0,7.0,11.0,10.0,12.0
Keanu Baccus,178,67,24,71,74,237005.0,SUB, Australia,51,41.0,49.0,68.0,40.0,66,42,55,63,68,77,76,84,69,79,68,56,86,65,68,73,75,55,58.0,42.0,60,74,71,7.0,7.0,11.0,7.0,8.0
Kasper Peter Schmeichel,190,89,35,85,85,163587.0,GK, Denmark,18,12.0,16.0,41.0,15.0,12,13,15,46,40,42,49,60,83,47,61,60,34,63,14,35,20,13,59.0,26.0,14,14,13,83.0,82.0,81.0,82.0,87.0
Joachim Andersen,192,90,26,80,83,224221.0,SUB, Denmark,47,40.0,82.0,79.0,43.0,63,64,50,82,72,54,56,48,78,52,73,74,74,85,53,80,80,42,63.0,44.0,81,81,81,13.0,7.0,9.0,15.0,14.0
Victor Enok Nelsson,185,78,23,75,82,235658.0,RES, Denmark,51,36.0,73.0,71.0,37.0,60,52,38,69,68,72,71,63,70,71,60,81,83,85,41,76,73,47,59.0,53.0,76,74,73,10.0,6.0,12.0,7.0,14.0
Simon Thorup Kjær,190,86,33,85,85,179645.0,RCB, Denmark,50,55.0,85.0,75.0,37.0,52,52,66,70,72,60,68,59,82,55,74,82,63,85,41,85,87,31,55.0,61.0,87,85,81,6.0,10.0,13.0,10.0,15.0
Joakim Mæhle Pedersen,185,79,25,80,83,234678.0,LB, Denmark,82,67.0,64.0,79.0,62.0,77,63,40,68,83,85,88,67,77,64,70,82,91,74,65,73,72,76,65.0,45.0,71,73,72,12.0,8.0,12.0,10.0,8.0
Andreas Bødtker Christensen,192,81,26,83,87,213661.0,LCB, Denmark,51,36.0,82.0,81.0,25.0,67,41,39,73,77,59,76,61,84,60,37,79,68,79,20,75,86,32,62.0,36.0,86,85,83,10.0,12.0,8.0,6.0,8.0
Mathias Jensen,180,68,26,77,80,229723.0,SUB, Denmark,72,60.0,50.0,80.0,50.0,75,70,68,78,78,68,66,82,75,77,62,67,82,66,67,66,75,73,80.0,69.0,70,66,57,5.0,13.0,10.0,8.0,12.0
Thomas Joseph Delaney,180,79,30,83,83,193283.0,LCM, Denmark,68,68.0,83.0,81.0,67.0,71,71,68,81,78,73,71,72,81,72,78,91,86,78,73,85,83,75,76.0,60.0,84,82,82,8.0,12.0,11.0,14.0,15.0
Martin Braithwaite Christensen,180,73,31,77,77,193290.0,SUB, Denmark,68,77.0,67.0,75.0,75.0,78,71,75,65,80,79,79,81,77,69,77,82,75,75,71,68,31,78,74.0,73.0,35,30,26,14.0,13.0,11.0,7.0,8.0
Christian Dannemann Eriksen,181,76,30,86,86,190460.0,CAM, Denmark,86,79.0,52.0,90.0,80.0,83,89,87,91,90,68,67,76,83,81,84,49,67,52,88,46,56,78,89.0,67.0,59,57,22,9.0,14.0,7.0,7.0,6.0
Andreas Skov Olsen,187,75,22,79,86,240017.0,RW, Denmark,78,78.0,64.0,75.0,59.0,83,70,62,65,83,86,84,73,70,74,77,69,76,67,75,62,34,76,74.0,68.0,39,37,31,13.0,8.0,7.0,7.0,11.0
Kasper Dolberg Rasmussen,187,84,24,78,82,228687.0,ST, Denmark,50,80.0,74.0,75.0,77.0,77,74,70,60,78,67,74,70,76,63,84,73,72,79,79,32,23,78,74.0,78.0,28,24,19,7.0,15.0,13.0,9.0,7.0
Rasmus Nissen Kristensen,187,70,24,77,82,233301.0,SUB, Denmark,74,64.0,73.0,73.0,63.0,72,70,56,71,71,77,82,72,75,69,75,83,92,78,66,78,73,70,68.0,62.0,75,73,71,10.0,9.0,9.0,6.0,10.0
Mikkel Krogh Damsgaard,180,71,21,77,86,241508.0,LW, Denmark,65,72.0,51.0,74.0,48.0,82,66,82,70,81,90,81,91,70,87,71,72,71,56,72,64,45,74,77.0,47.0,52,46,40,6.0,10.0,14.0,11.0,7.0
Christian Thers Nørgaard,186,77,28,78,79,210697.0,SUB, Denmark,64,60.0,69.0,76.0,51.0,73,66,64,76,79,61,54,65,77,70,63,68,81,76,57,76,77,64,66.0,60.0,77,77,75,11.0,9.0,13.0,14.0,11.0
Oliver Christensen,190,82,23,73,79,236758.0,SUB, Denmark,10,5.0,9.0,47.0,5.0,16,16,11,44,19,45,43,33,63,34,51,64,42,64,6,32,13,6,62.0,10.0,14,13,11,77.0,71.0,68.0,67.0,79.0
Jens Stryger Larsen,182,82,31,77,77,193133.0,SUB, Denmark,78,60.0,62.0,75.0,60.0,73,65,52,70,77,79,78,71,77,72,69,78,81,74,56,74,74,70,70.0,50.0,70,73,70,7.0,8.0,12.0,7.0,9.0
Daniel Wass,181,74,33,80,80,172522.0,RB, Denmark,81,75.0,69.0,82.0,69.0,76,78,84,80,81,73,75,72,80,71,84,67,85,73,80,72,77,76,78.0,61.0,75,77,76,11.0,9.0,10.0,13.0,13.0
Jonas Older Wind,190,82,23,77,83,241522.0,SUB, Denmark,58,78.0,81.0,75.0,64.0,75,64,65,70,79,68,67,70,75,69,77,72,78,86,68,67,34,78,76.0,76.0,35,29,22,7.0,10.0,10.0,11.0,9.0
Yussuf Yurary Poulsen,193,84,28,77,77,207791.0,SUB, Denmark,68,77.0,83.0,75.0,75.0,77,70,42,53,77,80,78,69,78,54,74,83,86,76,58,83,54,82,71.0,58.0,53,59,34,6.0,11.0,15.0,14.0,8.0
Andreas Evald Cornelius,195,91,29,77,77,201943.0,SUB, Denmark,50,80.0,84.0,73.0,73.0,63,63,56,49,69,63,67,49,77,48,82,75,69,89,69,73,28,81,68.0,66.0,40,28,13,15.0,9.0,8.0,11.0,9.0
Frederik Riis Rønnow,190,80,29,75,75,201269.0,RES, Denmark,14,9.0,12.0,25.0,7.0,13,16,7,30,12,48,45,34,74,40,51,63,32,67,13,17,12,14,48.0,17.0,15,11,13,77.0,71.0,68.0,73.0,78.0
Pierre-Emile Kordt Højbjerg,187,84,26,85,87,213648.0,RCM, Denmark,68,68.0,65.0,84.0,64.0,78,70,74,83,84,58,54,65,85,67,85,65,87,79,80,88,85,68,74.0,56.0,85,84,75,9.0,7.0,12.0,11.0,11.0
Robert Skov,183,81,26,74,75,215449.0,RES, Denmark,84,72.0,52.0,73.0,73.0,72,87,86,70,72,76,79,76,71,74,86,49,70,67,82,72,60,71,70.0,74.0,65,69,65,15.0,16.0,15.0,13.0,11.0
Jesper Grænge Lindstrøm,182,66,22,75,84,245741.0,SUB, Denmark,62,73.0,44.0,73.0,58.0,79,62,57,67,77,88,87,83,69,82,72,56,74,55,70,70,40,73,74.0,48.0,46,57,49,11.0,12.0,14.0,13.0,8.0
Alexander Hartmann Bah,183,76,24,76,80,245235.0,SUB, Denmark,70,59.0,65.0,68.0,54.0,73,59,64,62,71,90,93,77,72,70,78,73,85,78,63,83,72,69,69.0,51.0,68,71,71,6.0,12.0,12.0,9.0,13.0
Aymen Mathlouthi,182,84,37,67,67,195834.0,RES, Tunisia,19,6.0,21.0,24.0,17.0,4,16,12,22,23,23,21,33,65,12,46,67,19,65,15,12,11,7,56.0,25.0,15,19,12,66.0,66.0,61.0,68.0,67.0
Bilel Ifa,185,74,32,69,69,197366.0,SUB, Tunisia,49,24.0,70.0,65.0,20.0,38,30,39,58,44,61,63,56,66,58,44,69,70,75,39,67,72,37,46.0,30.0,71,73,69,15.0,11.0,16.0,8.0,16.0
Montassar Omar Talbi,190,81,24,69,74,245410.0,SUB, Tunisia,27,23.0,66.0,60.0,34.0,48,26,35,39,55,56,64,60,64,68,46,72,60,79,25,73,66,25,30.0,41.0,70,73,72,9.0,8.0,12.0,10.0,14.0
Yassine Meriah,183,85,28,71,72,241746.0,RCB, Tunisia,31,39.0,70.0,66.0,46.0,55,25,32,68,57,71,67,64,69,55,69,87,61,79,55,75,70,38,46.0,64.0,69,72,69,6.0,6.0,12.0,5.0,14.0
Nader Ghandri,196,96,27,67,70,220129.0,RES, Tunisia,40,33.0,72.0,64.0,34.0,47,39,38,60,48,38,34,39,57,31,46,58,64,92,38,81,65,38,49.0,41.0,64,66,64,15.0,13.0,9.0,6.0,6.0
Dylan Daniel Mahmoud Bronn,186,77,27,73,76,235565.0,LCB, Tunisia,65,56.0,73.0,70.0,54.0,57,63,53,73,64,62,64,66,73,63,74,70,72,80,64,75,73,56,65.0,63.0,75,73,71,6.0,10.0,9.0,7.0,9.0
Youssef Msakni,175,73,31,71,71,218193.0,SUB, Tunisia,66,69.0,48.0,70.0,61.0,80,68,58,63,75,71,67,75,65,72,71,55,60,55,68,43,31,67,67.0,62.0,26,20,21,15.0,14.0,7.0,9.0,12.0
Hannibal Mejbri,177,70,19,65,84,258171.0,RES, Tunisia,62,50.0,42.0,67.0,45.0,71,65,46,62,67,72,70,76,75,66,56,40,70,53,50,77,52,65,64.0,51.0,50,56,52,9.0,5.0,10.0,11.0,7.0
Issam Jebali,182,84,30,67,67,235236.0,SUB, Tunisia,53,66.0,57.0,67.0,60.0,73,61,50,56,70,69,71,71,62,63,69,68,71,74,61,58,41,66,68.0,68.0,36,35,26,10.0,6.0,9.0,8.0,7.0
Wahbi Khazri,176,82,31,75,75,194845.0,LW, Tunisia,78,77.0,58.0,75.0,72.0,76,79,78,67,78,66,71,77,78,77,82,34,70,70,78,74,53,78,76.0,83.0,31,46,30,6.0,7.0,11.0,11.0,6.0
Taha Khenissi,180,74,30,70,70,218209.0,SUB, Tunisia,59,75.0,64.0,66.0,64.0,74,68,61,57,73,74,73,69,70,76,73,71,66,58,69,43,22,69,60.0,71.0,26,23,17,6.0,11.0,9.0,9.0,15.0
Ali Maâloul,175,72,32,72,72,218229.0,LB, Tunisia,79,66.0,60.0,69.0,66.0,73,76,73,66,72,78,74,73,74,75,72,66,74,62,74,59,68,68,70.0,68.0,65,66,67,14.0,8.0,16.0,15.0,7.0
Ferjani Sassi,186,76,30,75,75,218215.0,LCM, Tunisia,62,67.0,69.0,77.0,62.0,75,70,66,73,78,66,68,67,72,65,72,70,75,70,74,75,70,72,76.0,75.0,65,72,68,12.0,8.0,14.0,11.0,6.0
Aïssa Bilal Laïdouni,183,81,25,73,78,233642.0,RCM, Tunisia,58,67.0,71.0,76.0,33.0,74,51,44,73,76,66,57,70,66,71,58,64,89,72,59,76,72,74,75.0,62.0,66,62,59,10.0,11.0,13.0,14.0,13.0
Mohamed Ben Romdhane,186,78,22,69,76,268822.0,SUB, Tunisia,58,62.0,50.0,71.0,56.0,68,70,73,68,72,63,66,68,69,56,71,48,75,74,72,59,67,65,66.0,69.0,63,63,57,11.0,12.0,7.0,13.0,12.0
Aymen Dahmen,188,83,25,68,73,268825.0,SUB, Tunisia,11,6.0,10.0,38.0,6.0,6,11,11,35,36,19,15,25,63,35,51,44,25,56,5,25,10,5,40.0,11.0,5,10,14,66.0,69.0,68.0,68.0,65.0
Ellyes Joris Skhiri,185,74,27,79,80,225126.0,CDM, Tunisia,67,73.0,75.0,77.0,60.0,74,72,55,71,77,65,70,74,78,64,75,76,91,67,72,77,85,68,67.0,58.0,80,77,73,15.0,14.0,8.0,14.0,14.0
Ghaylen Chaaleli,179,73,28,68,68,241757.0,SUB, Tunisia,68,64.0,58.0,72.0,59.0,76,44,61,69,72,64,68,70,67,73,82,58,69,56,73,58,53,63,67.0,61.0,52,54,48,9.0,10.0,8.0,15.0,6.0
Seifeddine Jaziri,180,72,29,72,72,268821.0,ST, Tunisia,48,73.0,65.0,64.0,63.0,74,56,62,52,71,74,71,68,68,67,78,72,65,74,74,48,21,73,62.0,70.0,26,32,26,6.0,5.0,14.0,10.0,10.0
Mohamed Dräger,178,74,26,71,74,242041.0,RB, Tunisia,71,62.0,63.0,67.0,58.0,73,62,48,62,69,84,79,77,72,76,67,49,75,56,69,70,66,65,61.0,60.0,67,65,64,12.0,9.0,8.0,9.0,10.0
Wajdi Kechrida,184,75,26,70,71,264008.0,SUB, Tunisia,65,31.0,56.0,63.0,35.0,65,50,42,58,67,71,68,66,69,59,34,54,72,57,32,60,65,62,43.0,46.0,67,75,72,14.0,11.0,14.0,7.0,11.0
Bechir Ben Said,193,73,29,69,71,268823.0,GK, Tunisia,14,8.0,10.0,15.0,8.0,14,13,14,23,16,28,35,34,65,29,47,36,22,72,6,24,8,7,39.0,12.0,7,14,12,73.0,64.0,62.0,68.0,69.0
Naïm Sliti,173,78,29,74,74,205257.0,RW, Tunisia,70,71.0,49.0,75.0,71.0,79,70,65,64,77,73,72,79,71,80,71,68,73,68,72,61,32,73,75.0,70.0,31,35,27,8.0,15.0,15.0,11.0,12.0
Ali Abdi,177,73,28,71,71,252711.0,SUB, Tunisia,67,60.0,65.0,71.0,49.0,70,68,44,63,71,83,88,72,72,68,66,71,88,70,60,68,59,71,65.0,41.0,60,63,63,13.0,13.0,13.0,10.0,9.0
Anis Ben Slimane,188,80,21,69,77,255210.0,SUB, Tunisia,45,59.0,50.0,70.0,47.0,72,59,51,67,74,69,66,66,67,64,64,65,78,77,59,66,58,69,70.0,49.0,59,60,54,11.0,12.0,8.0,5.0,14.0
Mouez Hassen,186,80,27,68,71,209483.0,SUB, Tunisia,20,15.0,16.0,24.0,16.0,13,10,14,23,24,48,48,63,61,51,46,70,30,55,14,20,16,12,31.0,21.0,10,16,12,69.0,67.0,61.0,66.0,72.0
Keylor Navas Gamboa,185,80,35,87,87,193041.0,GK, 1383,11,15.0,11.0,40.0,11.0,24,21,15,37,30,54,53,60,84,61,56,74,39,75,13,32,22,16,68.0,25.0,28,14,14,88.0,83.0,74.0,86.0,88.0
Daniel Chacón,183,79,21,67,77,268716.0,SUB, 1383,29,16.0,67.0,65.0,22.0,31,25,25,57,65,60,64,45,65,58,34,66,62,62,18,65,69,29,29.0,38.0,70,66,70,5.0,10.0,6.0,8.0,12.0
Juan Pablo Vargas Campos,192,88,27,72,75,245256.0,SUB, 1383,25,21.0,71.0,72.0,22.0,32,27,29,51,67,56,62,54,71,40,37,70,60,85,17,65,66,21,31.0,34.0,69,77,74,8.0,6.0,9.0,13.0,11.0
Keysher Fuller,183,78,27,75,75,268702.0,RB, 1383,76,27.0,77.0,74.0,21.0,50,70,31,67,71,65,60,60,69,57,28,61,69,62,23,54,70,42,35.0,39.0,72,80,79,10.0,7.0,15.0,14.0,7.0
Celso Borges Mora,187,78,34,76,76,190799.0,RCM, 1383,60,69.0,68.0,75.0,67.0,67,72,75,74,74,50,52,64,76,59,79,65,73,74,74,72,78,70,73.0,75.0,77,73,70,9.0,16.0,7.0,9.0,13.0
Óscar Esau Duarte Gaitán,186,81,33,77,77,212772.0,RCB, 1383,40,48.0,79.0,73.0,46.0,49,37,32,62,68,40,50,44,73,41,56,73,59,84,40,76,76,35,46.0,37.0,78,78,77,15.0,9.0,7.0,8.0,14.0
Anthony Contreras,180,72,22,69,80,268713.0,LS, 1383,30,73.0,69.0,60.0,64.0,71,34,50,51,70,64,64,59,69,68,72,63,58,61,74,26,16,66,47.0,65.0,18,21,20,8.0,6.0,14.0,7.0,10.0
Bryan Josué Oviedo Jiménez,172,70,32,70,70,198335.0,LB, 1383,70,52.0,64.0,70.0,56.0,63,60,60,56,69,67,64,69,63,68,64,75,58,54,55,68,68,55,57.0,52.0,70,70,71,11.0,12.0,8.0,10.0,16.0
Jewison Bennette,173,70,18,70,82,268709.0,LM, 1383,68,69.0,34.0,69.0,46.0,72,64,33,70,76,66,74,60,65,76,56,49,60,57,39,31,24,68,66.0,49.0,25,28,24,14.0,11.0,7.0,12.0,9.0
Bryan Ruiz González,187,78,36,78,78,176949.0,SUB, 1383,78,75.0,74.0,79.0,77.0,85,81,74,75,86,63,63,68,70,71,76,56,50,67,76,33,49,74,78.0,75.0,50,38,48,9.0,7.0,12.0,7.0,6.0
Johan Alberto Venegas Ulloa,183,76,33,69,69,229996.0,SUB, 1383,62,69.0,60.0,68.0,60.0,73,66,63,62,70,69,75,68,62,69,68,71,68,66,70,78,43,66,68.0,67.0,50,36,26,7.0,6.0,12.0,9.0,12.0
Joel Nathaniel Campbell Samuels,178,78,30,77,77,204713.0,RS, 1383,73,77.0,76.0,78.0,73.0,81,72,75,70,79,75,74,76,72,64,80,75,64,82,76,64,45,76,76.0,70.0,32,40,42,8.0,15.0,14.0,15.0,14.0
Gerson Torres Barrantes,176,71,24,70,73,239844.0,RM, 1383,68,65.0,45.0,71.0,54.0,70,51,41,70,71,71,71,69,64,68,66,59,66,65,47,45,30,68,70.0,66.0,42,56,45,9.0,11.0,6.0,14.0,10.0
Youstin Salas,173,65,26,65,68,268712.0,SUB, 1383,45,62.0,49.0,73.0,36.0,67,30,47,72,56,60,64,55,57,80,51,56,59,50,64,59,59,66,64.0,44.0,30,65,46,9.0,12.0,13.0,10.0,8.0
Francisco Javier Calvo Quesada,180,79,29,76,76,213064.0,LCB, 1383,59,41.0,77.0,74.0,36.0,64,61,42,66,66,64,64,62,77,78,55,84,78,77,39,82,79,54,52.0,43.0,74,75,72,8.0,15.0,8.0,12.0,6.0
Carlos Manuel Martínez Castro,177,65,23,62,71,239075.0,RES, 1383,61,20.0,59.0,56.0,22.0,45,40,28,34,58,65,64,74,55,61,34,67,47,50,30,57,57,38,40.0,31.0,64,65,63,11.0,7.0,12.0,10.0,11.0
Yeltsin Ignacio Tejeda Valverde,179,66,30,74,74,216810.0,LCM, 1383,57,64.0,61.0,77.0,46.0,73,57,40,74,75,64,66,61,76,72,78,74,75,72,62,72,77,73,75.0,49.0,60,73,65,15.0,9.0,15.0,15.0,12.0
Esteban Alvarado Brown,192,85,33,70,70,198040.0,SUB, 1383,14,18.0,17.0,22.0,12.0,13,11,11,29,21,51,52,58,68,44,50,69,40,62,19,45,18,12,35.0,20.0,10,12,13,72.0,64.0,67.0,66.0,73.0
Kendall Jamaal Waston Manley,196,88,34,73,73,216811.0,SUB, 1383,28,30.0,74.0,68.0,21.0,37,21,26,63,56,39,53,32,65,31,37,81,58,92,23,85,75,39,35.0,39.0,68,71,70,13.0,14.0,14.0,6.0,7.0
Douglas López,180,76,23,65,74,268717.0,SUB, 1383,38,30.0,42.0,67.0,35.0,46,38,39,68,56,65,60,51,62,64,48,56,65,66,34,62,66,53,62.0,43.0,60,64,65,13.0,10.0,10.0,9.0,12.0
Ronald Alberto Matarrita Ulate,175,70,27,75,75,232230.0,SUB, 1383,75,38.0,70.0,71.0,32.0,70,60,54,63,74,78,78,74,66,74,70,77,76,66,52,71,69,64,68.0,59.0,68,77,74,15.0,7.0,8.0,8.0,6.0
Patrick Gilmar Sequeira,190,84,23,62,69,270054.0,SUB, 1383,23,6.0,11.0,30.0,9.0,5,12,12,28,11,38,30,47,60,50,48,60,25,60,5,27,17,5,49.0,19.0,12,13,10,69.0,62.0,64.0,56.0,59.0
Anthony Hernández,179,72,21,62,74,,,,66,56.0,34.0,52.0,63.0,83,83,86,57,81,57,63,63,56,62,58,52,55,53,34,53,56,53,,,14,10,6,,,,,
Manuel Peter Neuer,193,93,36,90,90,167495.0,GK, Germany,15,13.0,25.0,60.0,11.0,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70.0,47.0,17,10,11,87.0,88.0,91.0,91.0,88.0
Antonio Rüdiger,190,85,29,86,87,205452.0,LCB, Germany,68,40.0,82.0,80.0,34.0,64,43,56,78,72,72,91,56,85,50,77,84,71,90,67,92,84,49,61.0,40.0,86,87,84,14.0,15.0,10.0,12.0,8.0
David Raum,180,75,24,81,84,236703.0,LB, Germany,89,57.0,63.0,76.0,52.0,75,81,63,71,76,86,87,77,80,77,64,63,88,75,65,69,76,59,78.0,49.0,74,74,74,11.0,8.0,14.0,12.0,6.0
Matthias Ginter,189,86,28,82,83,207862.0,SUB, Germany,68,55.0,82.0,79.0,53.0,61,44,42,78,75,54,64,55,85,49,74,77,75,84,46,73,83,55,72.0,67.0,85,85,78,12.0,10.0,6.0,8.0,10.0
Jan Thilo Kehrer,186,76,25,79,82,226229.0,RB, Germany,69,37.0,79.0,77.0,32.0,67,54,38,66,73,73,78,67,80,64,65,86,76,80,40,78,79,53,59.0,41.0,80,80,81,9.0,9.0,14.0,10.0,12.0
Joshua Walter Kimmich,177,75,27,89,90,212622.0,RDM, Germany,91,68.0,72.0,87.0,69.0,82,85,69,90,85,77,60,84,88,84,78,79,94,68,83,89,84,80,85.0,44.0,85,85,78,8.0,15.0,7.0,15.0,15.0
Kai Lukas Havertz,190,82,23,84,91,235790.0,ST, Germany,74,81.0,80.0,84.0,80.0,85,84,53,78,85,75,86,77,84,75,74,75,77,69,77,42,38,85,82.0,73.0,39,46,38,6.0,8.0,11.0,10.0,12.0
