long_name,height_cm,weight_kg,age,overall,potential,nation_position,nationality_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,year
Givanildo Vieira de Souza,180,85,27,83,83,SUB,Brazil,80,85.0,68.0,83.0,73.0,84,80,84,78,82,84,85,72,83,59,94,72,84,90,90,84,55,83,76.0,83.0,33,41,28,6.0,10.0,7.0,11.0,12.0,2015
Pedro Eliezer Rodríguez Ledesma,169,64,26,83,86,RW,Spain,78,80.0,55.0,83.0,70.0,84,81,57,74,85,86,80,84,88,82,71,67,78,52,73,56,49,85,75.0,66.0,30,32,31,5.0,11.0,12.0,15.0,9.0,2015
David De Gea Quintana,193,82,23,83,87,SUB,Spain,25,25.0,21.0,31.0,25.0,25,21,25,32,31,51,55,57,78,43,31,67,25,64,25,38,30,25,25.0,40.0,25,21,25,87.0,75.0,86.0,76.0,88.0,2015
Juan Guillermo Cuadrado Bello,176,66,26,83,87,RM,Colombia,83,75.0,59.0,79.0,75.0,89,73,69,75,85,92,94,90,75,77,83,60,80,64,80,79,55,78,68.0,65.0,54,59,64,5.0,5.0,13.0,6.0,9.0,2015
Paul Pogba,188,80,21,83,89,RDM,France,73,70.0,81.0,82.0,78.0,84,78,65,82,88,75,77,79,78,60,89,87,87,90,88,85,69,77,83.0,67.0,63,79,83,5.0,6.0,2.0,4.0,3.0,2015
Francisco Román Alarcón Suárez,176,74,22,83,88,SUB,Spain,72,76.0,61.0,87.0,59.0,86,84,74,79,89,78,74,86,79,84,73,64,70,59,82,58,43,79,85.0,76.0,25,23,26,10.0,8.0,12.0,15.0,6.0,2015
Gianluigi Buffon,191,83,36,82,82,GK,Italy,25,25.0,32.0,37.0,25.0,20,25,25,31,24,45,33,51,74,49,47,75,39,60,25,34,29,25,25.0,35.0,25,25,25,84.0,77.0,65.0,90.0,75.0,2015
Júlio César Soares de Espíndola,186,79,34,82,82,GK,Brazil,25,25.0,25.0,36.0,25.0,25,25,25,31,33,39,41,69,83,56,35,75,35,66,25,37,25,25,25.0,40.0,25,25,25,83.0,77.0,67.0,82.0,82.0,2015
Pablo Javier Zabaleta Girod,178,76,29,82,82,RB,Argentina,75,41.0,74.0,79.0,53.0,73,68,66,71,77,75,74,72,85,72,66,81,84,79,57,88,83,71,68.0,64.0,83,85,83,10.0,14.0,15.0,7.0,5.0,2015
Mario Gómez García,189,88,28,82,82,SUB,Germany,63,86.0,84.0,69.0,79.0,69,65,36,39,76,71,78,64,78,55,82,76,66,86,73,78,20,88,62.0,75.0,25,25,25,7.0,7.0,8.0,6.0,13.0,2015
Charles Joseph John Hart,196,91,27,82,83,GK,England,25,25.0,25.0,32.0,25.0,25,25,25,35,20,59,60,25,81,32,25,72,28,61,25,28,25,25,25.0,44.0,25,25,25,85.0,76.0,79.0,79.0,86.0,2015
Rodrigo Sebastián Palacio,175,70,32,82,82,SUB,Argentina,76,85.0,76.0,79.0,81.0,83,83,75,65,86,86,85,83,83,83,73,77,71,61,81,41,27,86,80.0,83.0,25,25,25,17.0,14.0,17.0,17.0,17.0,2015
Ezequiel Iván Lavezzi,173,75,29,82,82,SUB,Argentina,78,76.0,47.0,78.0,79.0,84,79,76,60,82,86,88,94,80,92,81,72,75,72,70,75,30,77,78.0,68.0,20,39,36,5.0,14.0,10.0,8.0,11.0,2015
Leighton Baines,170,70,29,82,82,LB,England,88,70.0,74.0,84.0,63.0,77,80,82,74,77,75,79,74,80,85,84,72,85,68,75,74,80,74,75.0,86.0,80,82,81,8.0,15.0,10.0,13.0,12.0,2015
Steve Mandanda,185,82,29,82,82,SUB,France,25,25.0,25.0,31.0,25.0,25,25,25,28,23,53,43,52,79,36,34,74,31,61,25,37,23,25,25.0,25.0,25,25,25,83.0,78.0,79.0,80.0,82.0,2015
Filipe Luís Kasmirski,182,78,28,82,82,SUB,Brazil,86,59.0,66.0,75.0,56.0,77,74,75,77,84,79,85,74,82,60,71,62,89,74,60,75,84,71,70.0,65.0,83,81,84,11.0,15.0,9.0,9.0,5.0,2015
Jan Vertonghen,189,86,27,82,84,LB,Belgium,68,60.0,84.0,80.0,52.0,67,58,73,76,74,69,75,68,80,55,86,80,79,81,68,83,84,65,72.0,68.0,79,83,79,6.0,10.0,9.0,12.0,7.0,2015
Sokratis Papastathopoulos,185,85,26,82,84,RCB,Greece,65,45.0,82.0,66.0,58.0,61,51,47,60,67,75,81,66,80,75,66,82,69,86,50,87,78,52,55.0,55.0,85,85,87,6.0,8.0,5.0,12.0,5.0,2015
Simon Luc Hildebert Mignolet,193,87,26,82,83,SUB,Belgium,25,25.0,25.0,38.0,25.0,25,25,25,33,23,55,59,28,69,42,44,69,31,72,25,33,20,25,25.0,40.0,25,25,25,84.0,79.0,72.0,80.0,84.0,2015
Łukasz Piszczek,184,78,29,82,82,SUB,Poland,84,64.0,74.0,77.0,66.0,74,75,44,70,77,78,84,68,83,67,77,74,87,80,66,83,84,73,66.0,62.0,76,84,83,14.0,11.0,14.0,6.0,12.0,2015
Dries Mertens,169,61,27,82,85,SUB,Belgium,79,76.0,35.0,81.0,69.0,87,85,82,74,87,92,85,93,76,92,79,59,76,36,81,64,43,76,82.0,80.0,30,41,40,7.0,10.0,8.0,10.0,4.0,2015
Marcelo Vieira da Silva Júnior,174,75,26,82,85,LB,Brazil,85,64.0,63.0,80.0,54.0,83,80,67,76,86,79,83,79,85,84,83,79,82,75,65,86,83,67,70.0,59.0,74,79,83,12.0,5.0,5.0,5.0,9.0,2015
Benedikt Höwedes,187,82,26,82,84,SUB,Germany,65,53.0,84.0,74.0,38.0,60,38,52,64,72,64,68,65,82,60,62,82,69,81,31,80,82,51,60.0,56.0,83,83,84,14.0,6.0,9.0,10.0,7.0,2015
David Luiz Moreira Marinho,189,84,27,82,83,RCB,Brazil,68,56.0,82.0,77.0,67.0,69,70,75,70,79,75,78,75,74,56,73,80,75,77,71,84,77,49,68.0,75.0,78,82,82,11.0,12.0,10.0,7.0,14.0,2015
Willian Borges da Silva,175,75,25,82,84,LW,Brazil,74,75.0,29.0,82.0,59.0,88,74,57,77,87,92,86,87,81,82,71,46,86,61,80,44,55,77,80.0,51.0,43,62,51,14.0,12.0,13.0,7.0,13.0,2015
Néstor Fernando Muslera Micol,190,77,28,82,82,GK,Uruguay,25,25.0,25.0,38.0,25.0,25,25,25,34,35,63,64,70,84,60,25,84,45,64,25,24,21,25,25.0,44.0,25,25,25,80.0,82.0,80.0,80.0,87.0,2015
Luiz Gustavo Dias,187,80,26,82,83,CDM,Brazil,67,45.0,76.0,80.0,58.0,70,48,51,78,77,75,69,68,83,65,77,74,85,79,69,88,85,51,68.0,56.0,79,87,88,10.0,6.0,11.0,12.0,13.0,2015
Seydou Doumbia,178,74,26,82,84,SUB,Côte d'Ivoire,45,86.0,72.0,75.0,79.0,86,78,70,64,81,91,94,70,79,70,80,83,94,66,75,64,28,85,77.0,78.0,33,38,36,11.0,14.0,12.0,5.0,11.0,2015
Christian Dannemann Eriksen,177,71,22,82,88,CAM,Denmark,83,70.0,52.0,83.0,69.0,84,85,84,82,85,84,78,78,81,79,78,57,87,47,74,35,55,73,85.0,67.0,42,52,22,9.0,14.0,7.0,7.0,6.0,2015
Jorge Resurrección Merodio,178,74,22,82,85,SUB,Spain,84,68.0,62.0,86.0,56.0,79,84,73,85,86,77,74,78,84,77,81,61,82,72,78,68,58,76,88.0,59.0,50,51,48,14.0,12.0,5.0,10.0,13.0,2015
Antoine Griezmann,176,68,23,82,88,LM,France,82,80.0,70.0,74.0,81.0,86,84,70,76,80,85,85,88,80,70,75,79,75,62,70,70,35,86,74.0,64.0,23,22,25,14.0,8.0,14.0,13.0,14.0,2015
Jackson Arley Martínez Valencia,185,85,27,82,85,SUB,Colombia,61,86.0,85.0,72.0,83.0,77,66,34,63,79,78,85,78,80,70,85,85,84,86,66,83,47,85,71.0,70.0,27,47,33,15.0,5.0,12.0,14.0,14.0,2015
David Olatukunbo Alaba,180,75,22,82,87,LDM,Austria,85,63.0,69.0,84.0,65.0,81,74,75,79,83,87,86,86,84,77,78,78,88,65,76,68,83,76,77.0,74.0,78,81,79,5.0,7.0,14.0,15.0,9.0,2015
Lucas Rodrigues Moura da Silva,172,72,21,82,87,SUB,Brazil,76,69.0,50.0,78.0,70.0,88,69,68,75,83,95,91,93,83,86,83,71,72,57,73,67,50,75,76.0,75.0,39,43,48,9.0,10.0,14.0,7.0,14.0,2015
Francisco Amorebielsa,194,83,28,82,82,LCB,Venezuela,48,38.0,79.0,67.0,53.0,44,41,34,50,60,53,53,44,73,43,69,68,68,91,41,93,77,49,59.0,56.0,81,84,83,15.0,5.0,12.0,6.0,12.0,2015
Rafael van der Vaart,176,74,31,81,81,SUB,Netherlands,77,76.0,57.0,82.0,83.0,81,84,82,81,83,54,53,73,82,74,80,53,68,63,80,61,48,76,84.0,78.0,28,36,25,11.0,11.0,5.0,15.0,13.0,2015
Nigel de Jong,174,72,29,81,81,CM,Netherlands,59,39.0,59.0,82.0,53.0,65,59,50,82,79,74,68,74,75,86,71,78,80,82,56,87,85,55,69.0,58.0,72,82,84,2.0,4.0,2.0,2.0,4.0,2015
Fernando Luiz Rosa,176,67,29,81,81,LCM,Brazil,78,70.0,55.0,85.0,77.0,80,70,71,82,83,77,78,79,82,79,81,72,82,71,81,83,81,68,78.0,61.0,70,76,73,12.0,11.0,5.0,13.0,7.0,2015
Luís Carlos Almeida da Cunha,175,66,27,81,82,RW,Portugal,81,74.0,46.0,80.0,75.0,87,80,74,75,83,87,81,92,76,83,85,51,72,63,84,58,31,81,80.0,72.0,25,22,20,5.0,10.0,13.0,6.0,6.0,2015
Tolga Zengin,192,90,30,81,81,SUB,Turkey,25,25.0,25.0,24.0,25.0,25,25,25,23,29,42,44,49,79,49,25,79,37,74,25,30,22,25,25.0,25.0,25,25,25,79.0,78.0,75.0,83.0,85.0,2015
Clint Dempsey,185,84,31,81,81,ST,United States,70,80.0,82.0,80.0,76.0,83,72,73,67,83,74,73,79,79,70,83,71,80,74,80,70,33,81,76.0,71.0,31,45,47,12.0,7.0,5.0,10.0,12.0,2015
Gary Cahill,193,86,28,81,81,RCB,England,28,56.0,86.0,65.0,47.0,58,48,27,61,64,69,78,67,84,51,63,81,68,79,66,78,82,45,56.0,53.0,82,85,86,5.0,12.0,9.0,5.0,12.0,2015
Diego Alves Carreira,188,83,29,81,81,SUB,Brazil,25,25.0,25.0,33.0,25.0,25,32,21,33,25,55,54,69,78,57,45,84,43,67,32,44,25,25,25.0,30.0,25,25,25,88.0,74.0,76.0,74.0,88.0,2015
Yohan Cabaye,175,72,28,81,81,SUB,France,77,70.0,69.0,85.0,73.0,74,79,83,82,83,67,69,78,79,77,82,70,83,66,81,77,79,70,84.0,82.0,68,72,66,13.0,8.0,15.0,7.0,11.0,2015
Giovani dos Santos Ramírez,175,74,25,81,84,LS,Mexico,71,83.0,68.0,69.0,79.0,88,73,79,71,87,87,85,89,81,89,81,65,68,49,82,53,28,80,62.0,70.0,21,28,23,6.0,9.0,11.0,7.0,5.0,2015
Gervais Lombe Yao Kouassi,179,68,27,81,83,LW,Côte d'Ivoire,75,73.0,63.0,74.0,70.0,85,69,43,67,80,94,92,88,80,76,69,65,91,56,60,51,44,81,77.0,63.0,33,39,35,14.0,5.0,12.0,10.0,13.0,2015
Mathieu Valbuena,167,58,29,81,81,CAM,France,80,71.0,58.0,82.0,72.0,80,82,75,75,83,90,82,91,78,93,75,46,81,35,76,52,39,76,80.0,72.0,28,26,34,14.0,12.0,8.0,6.0,8.0,2015
Mamadou Sakho,187,83,24,81,83,LCB,France,60,23.0,78.0,71.0,20.0,50,50,30,64,66,68,68,61,66,55,51,82,72,88,38,85,79,32,50.0,40.0,77,84,82,14.0,12.0,9.0,7.0,8.0,2015
Ramires Santos do Nascimento,180,70,27,81,82,SUB,Brazil,76,67.0,75.0,83.0,69.0,82,69,50,76,82,86,90,78,82,80,75,80,94,59,66,79,82,73,76.0,67.0,76,82,78,12.0,6.0,9.0,12.0,9.0,2015
Philippe Coutinho Correia,171,71,22,81,86,SUB,Brazil,74,66.0,47.0,85.0,75.0,87,84,72,74,86,89,75,91,73,91,69,59,63,49,68,35,30,76,86.0,64.0,24,38,35,12.0,7.0,9.0,14.0,6.0,2015
Jordi Alba Ramos,170,69,25,81,85,LB,Spain,81,73.0,62.0,78.0,60.0,80,77,64,71,79,93,92,89,83,87,64,81,92,67,66,77,82,77,68.0,59.0,76,82,79,13.0,15.0,13.0,6.0,13.0,2015
Jack Wilshere,172,68,22,81,85,CDM,England,75,64.0,58.0,84.0,64.0,84,80,72,83,84,77,75,83,80,87,75,67,84,72,73,83,61,80,85.0,65.0,61,62,65,6.0,15.0,15.0,9.0,11.0,2015
Ander Iturraspe Derteano,187,75,25,81,84,SUB,Spain,61,65.0,77.0,85.0,51.0,72,67,65,75,77,68,66,60,83,51,78,53,82,82,60,77,86,71,85.0,57.0,71,82,65,6.0,11.0,7.0,6.0,8.0,2015
Wilfried Guemiand Bony,182,91,25,81,84,ST,Côte d'Ivoire,45,80.0,84.0,68.0,76.0,74,66,58,45,77,69,77,67,81,72,89,84,78,94,80,70,38,83,65.0,77.0,25,42,28,10.0,8.0,5.0,7.0,11.0,2015
Kevin De Bruyne,181,76,23,81,86,RCM,Belgium,78,78.0,41.0,82.0,78.0,82,76,76,81,83,75,78,78,78,79,82,65,83,74,83,42,52,82,80.0,75.0,37,39,40,15.0,13.0,5.0,10.0,13.0,2015
André Schürrle,183,72,23,81,84,SUB,Germany,77,81.0,65.0,79.0,78.0,86,77,70,67,78,92,85,85,83,77,86,76,76,64,85,59,43,80,75.0,81.0,23,36,39,7.0,11.0,12.0,9.0,12.0,2015
Raphaël Varane,191,78,21,81,88,RCB,France,36,40.0,84.0,73.0,42.0,57,46,54,74,72,74,77,53,78,47,52,76,69,80,53,73,85,44,56.0,43.0,80,84,83,11.0,11.0,9.0,5.0,14.0,2015
Carlos Arturo Bacca Ahumada,181,77,27,81,81,SUB,Colombia,61,84.0,71.0,67.0,77.0,80,63,59,52,79,84,79,83,82,71,81,75,73,78,80,38,34,84,66.0,79.0,25,25,25,12.0,12.0,8.0,5.0,8.0,2015
Tomáš Rosický,178,65,33,80,80,CAM,Czech Republic,77,65.0,46.0,83.0,71.0,84,81,70,80,85,76,73,82,79,85,76,58,74,61,70,75,49,79,83.0,74.0,32,45,56,14.0,11.0,6.0,11.0,13.0,2015
Patrice Evra,173,76,33,80,80,LB,France,79,40.0,69.0,76.0,52.0,76,69,50,70,76,79,79,77,80,83,73,88,79,75,48,83,83,65,62.0,57.0,77,81,83,3.0,5.0,5.0,5.0,3.0,2015
Jérémy Mathieu,192,82,30,80,80,SUB,France,79,52.0,80.0,66.0,68.0,45,79,70,76,65,74,78,65,80,50,80,69,66,90,77,81,85,48,42.0,60.0,81,84,77,13.0,14.0,10.0,9.0,5.0,2015
Bruno Eduardo Regufe Alves,187,83,32,80,80,LCB,Portugal,51,48.0,80.0,64.0,26.0,59,76,78,64,70,67,62,69,75,49,81,90,75,85,79,89,78,33,51.0,68.0,80,81,76,14.0,12.0,15.0,8.0,14.0,2015
Francisco Guillermo Ochoa Magaña,185,78,28,80,80,GK,Mexico,25,25.0,25.0,26.0,25.0,25,25,25,31,28,47,50,65,75,61,24,80,34,56,25,25,22,25,25.0,25.0,25,25,25,83.0,68.0,76.0,78.0,86.0,2015
Igor Denisov,176,70,30,80,80,SUB,Russia,71,64.0,59.0,82.0,64.0,74,62,54,75,79,75,77,78,75,74,67,76,91,62,77,87,83,69,76.0,62.0,82,84,73,13.0,7.0,15.0,13.0,12.0,2015
Rio Antonio Zoba Mavuba,172,74,30,80,80,SUB,France,68,42.0,66.0,82.0,38.0,69,58,62,79,76,68,65,74,80,81,68,80,87,71,61,78,86,55,75.0,57.0,75,80,78,7.0,9.0,8.0,14.0,7.0,2015
Alexandre Dimitri Song-Billong,185,74,26,80,80,LCM,Cameroon,62,61.0,73.0,76.0,53.0,65,57,41,74,77,68,73,69,80,63,68,71,86,82,42,87,79,62,76.0,66.0,77,81,73,8.0,12.0,15.0,11.0,12.0,2015
Mathieu Debuchy,178,76,28,80,80,RB,France,80,59.0,75.0,77.0,62.0,72,74,61,73,75,77,75,77,76,74,74,80,89,71,68,80,78,67,64.0,66.0,77,81,79,8.0,9.0,7.0,15.0,10.0,2015
Mousa Sidi Yaya Dembélé,185,82,26,80,82,SUB,Belgium,64,65.0,67.0,83.0,76.0,86,64,54,78,85,78,79,82,77,73,84,77,82,87,71,75,72,70,79.0,66.0,62,75,63,15.0,13.0,10.0,15.0,13.0,2015
Bacary Sagna,176,72,31,80,80,SUB,France,75,48.0,78.0,78.0,55.0,75,65,46,68,74,73,75,71,82,76,68,90,81,76,61,74,78,65,67.0,58.0,81,83,84,10.0,8.0,6.0,8.0,8.0,2015
Luis Antonio Valencia Mosquera,181,78,28,80,80,RM,Ecuador,83,62.0,65.0,78.0,69.0,81,68,65,72,78,84,86,79,78,74,81,63,82,73,63,73,42,73,78.0,69.0,42,49,51,15.0,10.0,9.0,6.0,6.0,2015
Kevin Mirallas,178,70,26,80,81,RM,Belgium,82,78.0,64.0,80.0,76.0,84,77,74,77,82,89,87,86,76,74,77,73,76,61,76,48,35,80,67.0,75.0,40,55,53,8.0,10.0,14.0,13.0,15.0,2015
Morgan Schneiderlin,181,75,24,80,84,SUB,France,55,64.0,60.0,82.0,50.0,71,54,54,81,74,72,64,70,78,66,71,75,90,76,56,85,83,67,70.0,56.0,74,83,79,6.0,11.0,12.0,14.0,7.0,2015
Axel Witsel,186,73,25,80,85,CDM,Belgium,70,71.0,77.0,83.0,70.0,83,69,70,78,85,67,74,87,82,60,77,76,85,79,72,78,82,75,78.0,77.0,70,73,71,5.0,7.0,7.0,10.0,7.0,2015
Francisco Casilla Cortés,191,84,27,80,83,SUB,Spain,25,25.0,25.0,29.0,25.0,25,25,25,23,25,32,49,52,68,58,25,70,43,79,25,45,25,25,25.0,25.0,25,25,25,82.0,81.0,78.0,80.0,79.0,2015
Rui Pedro dos Santos Patrício,190,85,26,80,84,GK,Portugal,25,25.0,25.0,31.0,25.0,25,25,25,30,25,45,48,56,75,51,38,79,45,76,25,39,22,25,25.0,32.0,25,25,25,83.0,81.0,82.0,78.0,80.0,2015
Miguel Luís Pinto Veloso,180,78,28,80,80,LCM,Portugal,76,64.0,66.0,83.0,69.0,76,85,83,85,83,69,67,73,78,75,82,74,75,76,83,70,83,70,83.0,72.0,70,78,75,15.0,6.0,8.0,7.0,14.0,2015
Loïc Alex Teliére Hubert Rémy,184,76,27,80,82,SUB,France,61,83.0,81.0,77.0,71.0,73,66,51,60,76,89,91,77,77,65,78,88,75,72,77,57,48,81,71.0,78.0,23,24,21,9.0,10.0,15.0,14.0,12.0,2015
Simon Thorup Kjær,190,82,25,80,81,RCB,Denmark,48,32.0,81.0,76.0,37.0,42,52,66,70,67,62,69,48,80,58,80,63,70,83,41,81,83,31,49.0,46.0,81,83,79,6.0,10.0,13.0,10.0,15.0,2015
Aurélien Bayard Chedjou Fongang,184,86,29,80,80,LCB,Cameroon,60,55.0,82.0,75.0,58.0,57,50,61,72,67,72,69,75,77,58,75,91,72,85,59,82,79,45,54.0,56.0,79,80,77,5.0,13.0,14.0,12.0,10.0,2015
Wojciech Tomasz Szczęsny,196,84,24,80,83,GK,Poland,25,25.0,25.0,31.0,25.0,25,25,25,35,21,50,40,55,76,46,34,38,38,61,25,39,25,25,25.0,47.0,25,25,25,83.0,79.0,70.0,76.0,84.0,2015
Onur Recep Kıvrak,187,74,26,80,81,GK,Turkey,25,25.0,25.0,23.0,25.0,25,25,25,21,21,67,65,67,81,51,21,83,45,67,25,30,22,25,25.0,22.0,25,25,25,80.0,78.0,79.0,78.0,86.0,2015
Artem Dzyuba,194,91,25,80,83,SUB,Russia,66,82.0,86.0,75.0,72.0,78,67,70,63,77,74,81,33,74,34,83,60,77,92,77,77,34,79,76.0,79.0,24,25,25,14.0,11.0,10.0,10.0,7.0,2015
José Paulo Bezzera Maciel Júnior,181,77,25,80,85,RCM,Brazil,63,75.0,83.0,80.0,74.0,77,65,56,76,81,76,78,70,81,64,76,88,92,71,75,73,82,81,74.0,70.0,79,79,74,15.0,15.0,10.0,5.0,7.0,2015
Eliaquim Mangala,187,84,23,80,86,SUB,France,64,26.0,84.0,66.0,43.0,60,46,47,63,65,72,79,62,80,57,71,90,77,86,40,91,83,38,46.0,45.0,76,77,82,9.0,12.0,5.0,9.0,13.0,2015
Stephan El Shaarawy,178,72,21,80,87,SUB,Italy,73,77.0,53.0,73.0,77.0,83,85,70,55,87,88,86,84,71,83,75,60,74,55,72,53,40,79,77.0,73.0,24,34,24,4.0,2.0,4.0,4.0,2.0,2015
Ciro Immobile,181,85,24,80,85,RS,Italy,54,85.0,79.0,70.0,80.0,74,69,50,48,78,76,80,77,84,66,79,78,77,77,70,81,28,86,60.0,74.0,20,32,28,5.0,7.0,14.0,11.0,5.0,2015
Romelu Lukaku Menama,190,94,21,80,86,SUB,Belgium,68,83.0,78.0,67.0,69.0,77,56,51,58,80,82,86,64,74,48,84,70,73,90,72,73,27,77,69.0,75.0,25,25,22,8.0,15.0,14.0,7.0,10.0,2015
Xherdan Shaqiri,169,72,22,80,85,RAM,Switzerland,74,75.0,37.0,79.0,76.0,86,82,78,68,84,92,84,88,80,94,84,63,78,74,81,73,65,78,78.0,65.0,58,60,53,13.0,12.0,12.0,11.0,11.0,2015
Ricardo Iván Rodríguez Araya,180,77,21,80,84,LB,Switzerland,88,35.0,73.0,79.0,50.0,75,81,83,75,78,74,77,74,81,70,75,69,78,74,56,79,80,64,57.0,78.0,78,81,81,14.0,13.0,14.0,14.0,11.0,2015
Enzo Nicolás Pérez,177,77,28,80,80,RM,Argentina,74,71.0,59.0,80.0,72.0,82,78,70,74,82,84,77,79,84,78,75,67,88,76,73,85,77,80,82.0,82.0,73,77,82,9.0,11.0,7.0,15.0,13.0,2015
Marco Verratti,165,60,21,80,86,SUB,Italy,67,45.0,55.0,86.0,64.0,83,76,66,85,85,72,68,87,82,93,66,64,77,56,58,85,78,61,84.0,64.0,73,76,73,12.0,12.0,15.0,15.0,10.0,2015
Julian Draxler,187,75,20,80,85,SUB,Germany,78,75.0,58.0,82.0,79.0,86,78,72,74,84,78,78,84,81,75,81,67,69,62,85,49,38,76,75.0,62.0,25,35,26,11.0,13.0,5.0,13.0,8.0,2015
Raheem Sterling,170,69,19,80,86,CAM,England,72,71.0,38.0,74.0,59.0,84,64,49,66,82,94,92,88,74,91,67,49,75,67,69,34,26,75,69.0,63.0,48,58,54,15.0,12.0,12.0,15.0,9.0,2015
Omar Luis Cardosa,188,84,30,80,80,SUB,Paraguay,67,87.0,83.0,71.0,80.0,73,80,87,71,72,32,51,50,79,31,90,34,53,84,86,72,29,87,75.0,84.0,30,32,34,12.0,7.0,6.0,14.0,11.0,2015
Robbie Keane,175,73,33,79,79,LS,Republic of Ireland,65,82.0,65.0,80.0,82.0,81,81,62,58,85,68,68,78,83,83,81,66,76,65,80,66,33,84,83.0,74.0,27,25,25,10.0,8.0,12.0,13.0,15.0,2015
Claudio Miguel Pizarro Bossio,184,84,35,79,79,LS,Peru,60,81.0,81.0,73.0,78.0,78,74,73,58,81,60,51,74,83,64,78,70,57,78,76,71,32,84,76.0,79.0,25,25,23,7.0,6.0,10.0,10.0,13.0,2015
Phil Jagielka,183,83,31,79,79,SUB,England,55,30.0,78.0,71.0,44.0,49,55,31,66,62,66,69,49,74,62,69,87,78,83,54,79,82,51,39.0,59.0,80,83,81,32.0,33.0,38.0,32.0,34.0,2015
Martín Gastón Demichelis,184,78,33,79,79,RCB,Argentina,52,43.0,84.0,67.0,35.0,54,26,30,65,58,32,34,32,75,55,47,63,34,86,34,86,82,28,57.0,45.0,80,79,73,6.0,10.0,11.0,6.0,5.0,2015
Volkan Demirel,191,90,32,79,79,SUB,Turkey,25,25.0,25.0,26.0,25.0,24,25,25,23,25,35,40,34,65,30,36,64,38,80,25,60,23,25,25.0,23.0,25,25,25,82.0,78.0,82.0,78.0,79.0,2015
Juan Francisco Torres Belén,180,72,29,79,79,SUB,Spain,84,56.0,51.0,71.0,49.0,80,79,59,66,79,79,87,78,83,62,70,68,88,74,55,80,82,68,72.0,66.0,77,81,74,11.0,14.0,10.0,15.0,7.0,2015
Raúl José Trindade Meireles,180,78,31,79,79,SUB,Portugal,77,70.0,67.0,83.0,80.0,76,78,75,81,80,73,69,72,79,74,83,70,81,73,82,83,74,75,77.0,75.0,67,68,63,11.0,9.0,5.0,5.0,12.0,2015
Roman Eremenko,180,67,27,79,81,RAM,Finland,72,70.0,48.0,83.0,51.0,82,80,72,79,81,81,73,74,72,75,78,81,82,68,82,62,45,71,84.0,60.0,60,57,59,14.0,9.0,12.0,5.0,9.0,2015
Thomas Vermaelen,182,75,28,79,79,LCB,Belgium,62,55.0,83.0,77.0,55.0,58,60,65,73,67,72,70,66,76,60,83,93,67,79,70,80,78,40,62.0,65.0,79,80,80,8.0,9.0,6.0,10.0,14.0,2015
Gökhan İnler,183,80,30,79,79,LDM,Switzerland,69,59.0,67.0,81.0,77.0,72,63,67,83,78,69,65,68,75,59,88,75,79,76,86,79,79,69,78.0,73.0,69,79,77,10.0,13.0,5.0,9.0,4.0,2015
Valon Behrami,185,78,29,79,79,RDM,Switzerland,70,55.0,68.0,78.0,70.0,76,70,68,78,78,77,73,76,78,68,75,70,87,77,74,89,82,70,74.0,72.0,70,83,86,11.0,10.0,6.0,14.0,10.0,2015
Ashley Williams,181,91,29,79,79,LCB,Wales,31,36.0,81.0,75.0,33.0,56,33,22,74,68,66,74,58,76,59,63,86,73,86,39,82,78,27,52.0,44.0,76,82,76,6.0,9.0,15.0,6.0,9.0,2015
Semih Kaya,182,66,23,79,84,RCB,Turkey,62,37.0,80.0,74.0,38.0,57,37,20,67,58,72,76,71,80,71,52,85,81,76,24,80,82,52,42.0,25.0,80,81,80,7.0,15.0,9.0,8.0,9.0,2015
Ron Peter Vlaar,189,79,29,79,79,CB,Netherlands,29,44.0,76.0,73.0,58.0,60,39,69,74,64,53,68,39,75,43,88,49,75,90,66,78,83,39,59.0,72.0,81,82,78,11.0,9.0,8.0,11.0,7.0,2015
Fredy Alejandro Guarín Vásquez,183,77,28,79,79,SUB,Colombia,74,70.0,67.0,81.0,74.0,83,72,81,75,82,79,79,76,78,73,91,77,83,88,87,84,68,76,79.0,73.0,56,76,78,11.0,12.0,12.0,14.0,12.0,2015
Jonathan Grant Evans,189,80,26,79,82,LCB,Northern Ireland,51,27.0,83.0,77.0,45.0,38,31,24,61,67,69,78,50,81,57,41,79,74,73,24,77,81,27,44.0,43.0,78,83,79,11.0,15.0,15.0,14.0,7.0,2015
Tim Krul,193,83,26,79,84,SUB,Netherlands,25,25.0,25.0,35.0,25.0,25,25,25,24,24,50,35,63,75,42,22,69,42,60,25,38,21,25,25.0,41.0,25,25,25,81.0,79.0,72.0,75.0,84.0,2015
Cristian Gabriel Rodríguez Barrotti,178,81,28,79,79,LM,Uruguay,83,72.0,63.0,78.0,64.0,81,80,69,78,76,79,79,75,84,65,85,77,75,81,82,83,58,76,73.0,67.0,38,58,47,6.0,12.0,15.0,12.0,13.0,2015
